cultivo_id,nombre_cultivo,archivo_csv,municipios,municipios_cumple_todos,municipios_no_cumple,municipios_sin_datos,porcentaje_municipios_cumple_todos,promedio_cumplimiento_pdf
fresa,Fresa,data/mapas_pdf_crudo/cultivo_fresa.parquet,2457,79,2378,0,3.2,76.9
frijol,Frijol,data/mapas_pdf_crudo/cultivo_frijol.parquet,2457,0,2457,0,0.0,79.3
garbanzo,Garbanzo,data/mapas_pdf_crudo/cultivo_garbanzo.parquet,2457,204,2253,0,8.3,85.3
gerbera,Gerbera,data/mapas_pdf_crudo/cultivo_gerbera.parquet,2457,0,2457,0,0.0,73.7
girasol,Girasol,data/mapas_pdf_crudo/cultivo_girasol.parquet,2457,0,2457,0,0.0,70.4
gladiola,Gladiola,data/mapas_pdf_crudo/cultivo_gladiola.parquet,2457,1619,838,0,65.9,88.6
granada,Granada,data/mapas_pdf_crudo/cultivo_granada.parquet,2457,596,1861,0,24.3,82.6
guanabana,Guanábana,data/mapas_pdf_crudo/cultivo_guanabana.parquet,2457,11,2446,0,0.4,62.3
guayaba,Guayaba,data/mapas_pdf_crudo/cultivo_guayaba.parquet,2457,39,2418,0,1.6,77.7
guayaba_fresa,Guayaba fresa,data/mapas_pdf_crudo/cultivo_guayaba_fresa.parquet,2457,0,2457,0,0.0,47.2
haba,Haba,data/mapas_pdf_crudo/cultivo_haba.parquet,2457,284,2173,0,11.6,87.1
hierbabuena,Hierbabuena,data/mapas_pdf_crudo/cultivo_hierbabuena.parquet,2457,114,2343,0,4.6,74.7
higo,Higo,data/mapas_pdf_crudo/cultivo_higo.parquet,2457,345,2112,0,14.0,85.3
higuerilla,Higuerilla,data/mapas_pdf_crudo/cultivo_higuerilla.parquet,2457,213,2244,0,8.7,79.3
hule,Hule,data/mapas_pdf_crudo/cultivo_hule.parquet,2457,133,2324,0,5.4,69.3
jaca,Jaca,data/mapas_pdf_crudo/cultivo_jaca.parquet,2457,12,2445,0,0.5,69.1
jamaica,Jamaica,data/mapas_pdf_crudo/cultivo_jamaica.parquet,2457,27,2430,0,1.1,77.4
jatropha,Jatropha,data/mapas_pdf_crudo/cultivo_jatropha.parquet,2457,25,2432,0,1.0,70.6
jicama,Jícama,data/mapas_pdf_crudo/cultivo_jicama.parquet,2457,2,2455,0,0.1,74.4
kiwi,Kiwi,data/mapas_pdf_crudo/cultivo_kiwi.parquet,2457,1,2456,0,0.0,67.7
lechuga,Lechuga,data/mapas_pdf_crudo/cultivo_lechuga.parquet,2457,0,2457,0,0.0,70.4
lenteja,Lenteja,data/mapas_pdf_crudo/cultivo_lenteja.parquet,2457,0,2457,0,0.0,64.3
lima,Lima,data/mapas_pdf_crudo/cultivo_lima.parquet,2457,3,2454,0,0.1,66.2
limon,Limón,data/mapas_pdf_crudo/cultivo_limon.parquet,2457,6,2451,0,0.2,70.7
litchi,Litchi,data/mapas_pdf_crudo/cultivo_litchi.parquet,2457,356,2101,0,14.5,83.4
macadamia,Macadamia,data/mapas_pdf_crudo/cultivo_macadamia.parquet,2457,86,2371,0,3.5,71.4
maiz,Maíz,data/mapas_pdf_crudo/cultivo_maiz.parquet,2457,0,2457,0,0.0,67.8
mamey,Mamey,data/mapas_pdf_crudo/cultivo_mamey.parquet,2457,14,2443,0,0.6,66.3
mandarina,Mandarina,data/mapas_pdf_crudo/cultivo_mandarina.parquet,2457,1,2456,0,0.0,58.8
mango,Mango,data/mapas_pdf_crudo/cultivo_mango.parquet,2457,566,1891,0,23.0,80.7
mangostan,Mangostán,data/mapas_pdf_crudo/cultivo_mangostan.parquet,2457,0,2457,0,0.0,49.4
manzano,Manzano,data/mapas_pdf_crudo/cultivo_manzano.parquet,2457,0,2457,0,0.0,74.6
maracuya,Maracuyá,data/mapas_pdf_crudo/cultivo_maracuya.parquet,2457,24,2433,0,1.0,55.4
melon,Melón,data/mapas_pdf_crudo/cultivo_melon.parquet,2457,0,2457,0,0.0,51.7
nanche,Nanche,data/mapas_pdf_crudo/cultivo_nanche.parquet,2457,9,2448,0,0.4,67.0
naranja,Naranja,data/mapas_pdf_crudo/cultivo_naranja.parquet,2457,222,2235,0,9.0,79.0
